"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","FIX_ID","ICAO_REGION_CODE","NAV_ID","NAV_TYPE","HOLD_DIRECTION","HOLD_DEG_OR_CRS","AZIMUTH","COURSE_INBOUND_DEG","TURN_DIRECTION","LEG_LENGTH_DIST","File","Action","Mods"
"2026/04/16","BEKLOF NDB*NE","1","NE","US","","","FMZ","NDB","S","185","BRG","5","R","","2","Deleted",""
"2026/04/16","BEKLOF NDB*NE","2","NE","US","","","FMZ","NDB","N","346","BRG","166","R","","2","Deleted",""
"2026/04/16","BLOON INT*NE*K3","1","NE","US","BLOON","K3","FBY","NDB","N","6","BRG","186","L","","2","Deleted",""
"2026/04/16","BRIGGS VOR/DME*OH","3","OH","US","","","BSV","VOR/DME","SE","116","RAD","296","R","","1","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","BRIGGS VOR/DME*OH","3","OH","US","","","BSV","VOR/DME","SE","155","RAD","335","R","","2","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/04/16","BRIGGS VOR/DME*OH","4","OH","US","","","BSV","VOR/DME","SE","155","RAD","335","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/05/14","BRIGGS VOR/DME*OH","4","OH","US","","","BSV","VOR/DME","S","191","RNAV","11","R","4","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/04/16","BRIGGS VOR/DME*OH","5","OH","US","","","BSV","VOR/DME","S","191","RNAV","11","R","4","2","Deleted",""
"2026/04/16","BUDKE INT*NC*K7","1","NC","US","BUDKE","K7","CLT","VOR/DME","NW","310","RAD","130","R","","2","Deleted",""
"2026/04/16","BUDKE INT*NC*K7","2","NC","US","BUDKE","K7","BZM","VOR/DME","N","184","RAD","184","R","","1","Modified","HOLD_DEG_OR_CRS"
"2026/05/14","BUDKE INT*NC*K7","2","NC","US","BUDKE","K7","BZM","VOR/DME","N","4","RAD","184","R","","2","Modified","HOLD_DEG_OR_CRS"
"2026/04/16","BUDKE WP*NC*K7","3","NC","US","BUDKE","K7","","","NW","312","RNAV","132","R","4","2","Deleted",""
"2026/04/16","BULLE INT*LA*K4","1","LA","US","BULLE","K4","BAD","TACAN","NW","330","RAD","150","L","10","1","Modified","LEG_LENGTH_DIST"
"2026/05/14","BULLE INT*LA*K4","1","LA","US","BULLE","K4","BAD","TACAN","NW","330","RAD","150","L","9","2","Modified","LEG_LENGTH_DIST"
"2026/04/16","BUTLER VORTAC*MO","1","MO","US","","","BUM","VORTAC","E","110","RAD","290","R","","2","Deleted",""
"2026/04/16","BVRLY INT*MO*K3","1","MO","US","BVRLY","K3","GWA","LD","NW","319","CRS","139","R","4","1","Modified","LEG_LENGTH_DIST"
"2026/05/14","BVRLY INT*MO*K3","1","MO","US","BVRLY","K3","GWA","LD","NW","319","CRS","139","R","","2","Modified","LEG_LENGTH_DIST"
"2026/04/16","CAMPO WP*ME*K6","1","ME","US","CAMPO","K6","","","NE","56","RNAV","236","R","9","2","Deleted",""
"2026/04/16","CANIN INT*FL*K7","2","FL","US","CANIN","K7","NQX","TACAN","E","94","RAD","274","L","4","1","Modified","NAV_ID NAV_TYPE HOLD_DEG_OR_CRS COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/05/14","CANIN INT*FL*K7","2","FL","US","CANIN","K7","EYW","VORTAC","E","90","RAD","270","L","5","2","Modified","NAV_ID NAV_TYPE HOLD_DEG_OR_CRS COURSE_INBOUND_DEG LEG_LENGTH_DIST"
