"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","SOP_SEQ_NO","SOP_TEXT","File","Action","Mods"
"2026/05/14","VR","1089","ZMA","120","IS ACTUALLY LOCATED AT N27-14.0 W80-40.5. DRIVE-IN MOVIE ","2","Modified","SOP_TEXT"
"2026/03/19","VR","1089","ZMA","125","      THEATER DEPICTED AT N27-14.5 W80-40.5 IS ACTUALLY LOCATED AT ","1","Modified","SOP_TEXT"
"2026/05/14","VR","1089","ZMA","125","THEATER DEPICTED AT N27-14.5 W80-40.5 IS ACTUALLY LOCATED AT ","2","Modified","SOP_TEXT"
"2026/03/19","VR","1089","ZMA","130","      N27-14.3 W80-45.2. ","1","Modified","SOP_TEXT"
"2026/05/14","VR","1089","ZMA","130","N27-14.3 W80-45.2. ","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","5","(1)   ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY 347","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","5","(2) ALL REQUESTS FOR USE OF THIS ROUTE MUST BE APPROVED BY THE","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","10","        WG, DET 1 SCHEDULING ACTIVITY A MINIMUM OF ONE DAY IN","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","10","598TH RANS/RMDS SCHEDULING AUTHORITY A MINIMUM OF ONE DAY IN","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","15","        ADVANCE DURING NORMAL DUTY HOURS. SAME DAY CHANGES OR","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","15","ADVANCE DURING NORMAL DUTY HOURS. SAME DAY CHANGES OR","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","20","        CANCELLATIONS SHALL BE COORDINATED THROUGH THE SCHEDULING","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","20","CANCELLATIONS SHALL BE COORDINATED THROUGH THE SCHEDULING","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","25","        ACTIVITY.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","25","AUTHORITY.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","30","(2)   CONTACT 347 WG, DET 1/ROA DURING NORMAL DUTY HOURS FOR","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","30","(3) CONTACT 598TH RANS/RMDS, ORIGINATING AUTHORITY DURING","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","35","        HAZARD BRIEFING PRIOR TO FLIGHT PLANNING.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","35","NORMAL DUTY HOURS FOR HAZARD BRIEFING PRIOR TO FLYING ROUTE.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","40","(3)   TO FLY VR-1005, COORDINATE WITH APPROPRIATE AGENCIES","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","40","(4) TO FLY VR-1005, COORDINATE WITH APPROPRIATE AGENCIES","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","45","        ACCORDING TO FLIP.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","45","ACCORDING TO FLIP.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","50","(4)   IF APPROVAL TO FLY VR-1005 IS NOT APPROVED, CLIMB 5 NM PRIOR","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","50","(5) IF APPROVAL TO FLY VR-1005 IS NOT APPROVED, CLIMB 5 NM PRIOR","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","55","        TO C TO 1500' AGL TO EXIT THE ROUTE.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","55","TO C TO 1500' AGL TO EXIT THE ROUTE.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","60","(5)   ENTRY TIME REQUIREMENTS: VR-1097 ENTRY IS SCHEDULE","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","60","(6) ENTRY TIME REQUIREMENTS: VR-1097 ENTRY IS SCHEDULE","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","65","        DE-CONFLICTED WITH IR-046 WHICH SHARES COMMON ENTRY POINT.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","65","DE-CONFLICTED WITH IR-046 WHICH SHARES COMMON ENTRY POINT.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","70","        ENTRY OUTSIDE THE SCHEDULED ENTRY TIME PLUS OR MINUS 3","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","70","ENTRY OUTSIDE THE SCHEDULED ENTRY TIME PLUS OR MINUS 3","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","75","        MINUTES IS NOT AUTHORIZED AND WILL REQUIRE RESCHEDULING.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","75","MINUTES IS NOT AUTHORIZED AND WILL REQUIRE RESCHEDULING.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","80","        AIRSPEEDS BETWEEN 360-540 KNOTS GROUND SPEED MUST BE","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","80","AIRSPEEDS BETWEEN 360-540 KNOTS GROUND SPEED MUST BE","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","85","        MAINTAINED FOR 3 MINUTES AFTER PASSING A.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","85","MAINTAINED FOR 3 MINUTES AFTER PASSING A.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","90","(6)   AVOID WATERCRAFT IN ACCORDANCE WITH REGULATIONS.","1","Modified","SOP_TEXT"
"2026/05/14","VR","1097","ZJX","90","(7) AVOID WATERCRAFT IN ACCORDANCE WITH REGULATIONS.","2","Modified","SOP_TEXT"
"2026/03/19","VR","1097","ZJX","95","(7)   15 OCT TO 15 MAR/MIGRATORY BIRDS: DURING HEAVY MIGRATION","1","Modified","SOP_TEXT"
