routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,rejectReason
ALLEX:JANJO:NAR:1,ALLEX,JANJO,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:JAROM:NAR:1,ALLEX,JAROM,NAR,1,origin_airport_not_found|destination_airport_not_found
ALLEX:JFK:NAR:1,ALLEX,JFK,NAR,1,origin_airport_not_found
ALLEX:JOOPY:NAR:1,ALLEX,JOOPY,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:KODIK:NAR:1,ALLEX,KODIK,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:LOMSI:NAR:1,ALLEX,LOMSI,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:MCO:NAR:1,ALLEX,MCO,NAR,1,origin_airport_not_found
ALLEX:MELDI:NAR:1,ALLEX,MELDI,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:MEM:NAR:1,ALLEX,MEM,NAR,1,origin_airport_not_found
ALLEX:MIA:NAR:1,ALLEX,MIA,NAR,1,origin_airport_not_found
ALLEX:MLB:NAR:1,ALLEX,MLB,NAR,1,origin_airport_not_found
ALLEX:MSY:NAR:1,ALLEX,MSY,NAR,1,origin_airport_not_found
ALLEX:MUSAK:NAR:1,ALLEX,MUSAK,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:NEEKO:NAR:1,ALLEX,NEEKO,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:NICSO:NAR:1,ALLEX,NICSO,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:OMSAT:NAR:1,ALLEX,OMSAT,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:PELTU:NAR:1,ALLEX,PELTU,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ALLEX:PHL:NAR:1,ALLEX,PHL,NAR,1,origin_airport_not_found
ALLEX:PIT:NAR:1,ALLEX,PIT,NAR,1,origin_airport_not_found
ALLEX:POB:NAR:1,ALLEX,POB,NAR,1,origin_airport_not_found
