airwayId,airwayLocation,pointSeq,currentPoint,nextPoint,gapFlagActive,signalGapFlagActive,meaGapActive,doglegActive,isTerminalPoint,hasCurrentCleanNextEdge,gapPositionClass,sourceRowNumber
J501,C,180,KATAT,CASEL,false,false,false,true,false,true,dogleg_turn_point,2035
J502,A,10,OTZ,FAI,false,true,false,false,false,true,signal_coverage_gap,2044
J505,C,10,SEA,FLAAK,false,true,false,false,false,true,signal_coverage_gap,2055
J507,A,50,CFXBV,U.S. CANADIAN BORDER-2,true,false,false,false,false,true,airway_discontinuity,2065
J507,A,60,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-3,false,false,true,false,false,true,mea_unusable,2066
J511,A,50,NONDA,AMOTT,false,false,false,true,false,true,dogleg_turn_point,2074
J515,C,70,BTT,BRW,false,true,false,false,false,true,signal_coverage_gap,2088
J52,C,100,OCS,FQF,false,true,false,false,false,true,signal_coverage_gap,2102
J52,C,140,LAA,ADM,true,false,true,false,false,true,multiple_flags,2106
J523,C,120,CFSKH,U.S. CANADIAN BORDER-2,true,false,false,false,false,true,airway_discontinuity,2123
J523,C,130,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-3,false,false,true,false,false,true,mea_unusable,2124
J536,A,10,SSR,CFCLG,false,true,false,false,false,true,signal_coverage_gap,2131
J537,C,40,U.S. CANADIAN BORDER-2,,true,false,false,false,true,false,airway_discontinuity,2137
J54,C,20,OLM,SUMMA,false,true,false,false,false,true,signal_coverage_gap,2145
